circuitId,circuitRef,name,location,country,lat,lng,alt
45,jarama,Jarama,Madrid,Spain,40.6171000,-3.5855800,609
46,watkins_glen,"Watkins Glen","New York State",USA,42.3369000,-76.9272000,485
47,anderstorp,"Scandinavian Raceway",Anderstorp,Sweden,57.2653000,13.6042000,153
48,mosport,"Mosport International Raceway",Ontario,Canada,44.0481000,-78.6756000,332
49,montjuic,Montjuïc,Barcelona,Spain,41.3664000,2.1516700,79
50,nivelles,Nivelles-Baulers,Brussels,Belgium,50.6211000,4.3269400,139
51,charade,"Charade Circuit",Clermont-Ferrand,France,45.7472000,3.0388900,790
52,tremblant,"Circuit Mont-Tremblant",Quebec,Canada,46.1877000,-74.6099000,214
53,essarts,Rouen-Les-Essarts,Rouen,France,49.3306000,1.0045800,81
54,lemans,"Le Mans","Le Mans",France,47.9500000,0.2242310,67
55,reims,Reims-Gueux,Reims,France,49.2542000,3.9308300,88
56,george,"Prince George Circuit","Eastern Cape Province","South Africa",-33.0486000,27.8736000,15
57,zeltweg,Zeltweg,Styria,Austria,47.2039000,14.7478000,676
58,aintree,Aintree,Liverpool,UK,53.4769000,-2.9405600,20
59,boavista,"Circuito da Boavista",Oporto,Portugal,41.1705000,-8.6732500,28
60,riverside,"Riverside International Raceway",California,USA,33.9370000,-117.2730000,470
61,avus,AVUS,Berlin,Germany,52.4806000,13.2514000,53
62,monsanto,"Monsanto Park Circuit",Lisbon,Portugal,38.7197000,-9.2030600,158
63,sebring,"Sebring International Raceway",Florida,USA,27.4547000,-81.3483000,18
64,ain-diab,"Ain Diab",Casablanca,Morocco,33.5786000,-7.6875000,19
65,pescara,"Pescara Circuit",Pescara,Italy,42.4750000,14.1508000,129
66,bremgarten,"Circuit Bremgarten",Bern,Switzerland,46.9589000,7.4019400,551
67,pedralbes,"Circuit de Pedralbes",Barcelona,Spain,41.3903000,2.1166700,85
68,buddh,"Buddh International Circuit","Uttar Pradesh",India,28.3487000,77.5331000,194
69,americas,"Circuit of the Americas",Austin,USA,30.1328000,-97.6411000,161
70,red_bull_ring,"Red Bull Ring",Spielberg,Austria,47.2197000,14.7647000,678
71,sochi,"Sochi Autodrom",Sochi,Russia,43.4057000,39.9578000,2
73,baku,"Baku City Circuit",Baku,Azerbaijan,40.3725000,49.8533000,-7
75,portimao,"Autódromo Internacional do Algarve",Portimão,Portugal,37.2270000,-8.6267000,108
76,mugello,"Autodromo Internazionale del Mugello",Mugello,Italy,43.9975000,11.3719000,255
77,jeddah,"Jeddah Corniche Circuit",Jeddah,"Saudi Arabia",21.6319000,39.1044000,15
78,losail,"Losail International Circuit","Al Daayen",Qatar,25.4900000,51.4542000,12
79,miami,"Miami International Autodrome",Miami,USA,25.9581000,-80.2389000,0
80,vegas,"Las Vegas Strip Street Circuit","Las Vegas","United States",36.1147000,-115.1730000,642
